relative_path,stage_key,role,size_bytes,sha256
stages/01_master_orchestrator/control/input_snapshot/RUN_001_MLK_POLY_ADD_OPEN_DISCOVERY.json,01_master_orchestrator,control,3424,5a537e6a47798ccde30083daa29e3f5cecdbb85f8ef4211b16b5b371b6a95190
stages/01_master_orchestrator/control/input_snapshot/archival_spec_01_fips203.pdf,01_master_orchestrator,control,1252341,fe1f12f32a7e44ec9fdebbf400cda843a40b506dee676725234dc6f7923b6cac
stages/01_master_orchestrator/control/input_snapshot/code_01_poly.c,01_master_orchestrator,control,504,267a924841f51350a52edcfee86fd86de8442fc17e657f14df1484698669415e
stages/01_master_orchestrator/control/input_snapshot/code_02_poly.h,01_master_orchestrator,control,431,bb14156db36f2c0628d1f5f007a0cb73169faebe947770f5d9eeacff0e654210
stages/01_master_orchestrator/control/input_snapshot/code_03_params.h,01_master_orchestrator,control,232,793a96bb238e811086cca256020cdedcf7be0014fd4bc20d21741b0a2810614c
stages/01_master_orchestrator/control/input_snapshot/spec_01_fips203_clean.txt,01_master_orchestrator,control,154798,0b103f1adce94325caa6ab56e1eafa8ce6bd411b5adc6b4e9537b0c2bad107e2
stages/01_master_orchestrator/control/repository_provenance.json,01_master_orchestrator,control,1105,83a1375612357b294c10c165ab55ca8e22a477525260f23483d5fdc68bdc216e
stages/01_master_orchestrator/diagnostics/iterations/iteration_00.json,01_master_orchestrator,diagnostics,13656,1f5b35fd31af6361f59ce0f03f3f0cf4042aab5c5aa352ccd7f23b327fe5d1f4
stages/01_master_orchestrator/handoff/handoff_manifest.json,01_master_orchestrator,handoff,1875,056d5f6540a5164f094022fa0aca2b75c7cc90c5ac3fe25a55404a54d052f912
stages/01_master_orchestrator/stage_manifest.json,01_master_orchestrator,stage_manifest.json,1560,95368ab6882a1bda1850401f21e0a64b13d6a2246edfaf52fb1d1307a962c84b
stages/02_spec_extraction/deterministic_reference/01_source_material_read_report.deterministic.json,02_spec_extraction,deterministic_reference,635,31299366ef8f6172869f422a66eff56014afbce9708b2f7e0c722ee718e83923
stages/02_spec_extraction/handoff/handoff_manifest.json,02_spec_extraction,handoff,1638,bb8993ade4662309baec4870832f55721ece69a02f65eb4b864b4627f9725238
stages/02_spec_extraction/llm_authoritative/01_spec_summary.json,02_spec_extraction,llm_authoritative,34142,6b7fc75d88b763cde63a3193b3e50733644671d254ad82cdaa75fbf254d04b6f
stages/02_spec_extraction/llm_authoritative/api_responses/attempt_01_response.json,02_spec_extraction,llm_authoritative,200777,7ba21b4c816723e090c118b6eb400633f8808c31c4ede792508bfb78048b518c
stages/02_spec_extraction/logs/02_spec_extraction_status.json,02_spec_extraction,logs,39137,73e9872e2c519bc7cf2e5c34f53b2a5023e94d723e765d517903efc6f8d3cc72
stages/02_spec_extraction/logs/spec_extraction_stderr.txt,02_spec_extraction,logs,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stages/02_spec_extraction/logs/spec_extraction_stdout.txt,02_spec_extraction,logs,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stages/02_spec_extraction/prompt_package/02_spec_extraction_prompt.txt,02_spec_extraction,prompt_package,5594,cb5537c4e317f61209abad4c3d1cbe14ded5af5a828cb45df1041876a460f4df
stages/02_spec_extraction/prompt_package/api_requests/attempt_01_request.json,02_spec_extraction,prompt_package,199182,631288bc928265d9916887cd056e2f9d4f518d8d75f3d848866c63ef1684c1f6
stages/02_spec_extraction/prompt_package/primary_evidence_manifest.json,02_spec_extraction,prompt_package,625,41fa1f483c93f647a42bf77b06351ca23becac4b1906969fe46a48904dea50c9
stages/02_spec_extraction/prompt_package/primary_evidence_transmission_manifest.json,02_spec_extraction,prompt_package,1011,cf7902a90421dc60243d472074111f34cbec33f6414b273914e1f04375485f95
stages/02_spec_extraction/prompt_package/prior_authoritative_context_manifest.json,02_spec_extraction,prompt_package,333,395c6c3db4e10cf2d8f5be6ee0a1e3f1c81aaea40cbfec91b13bd941cbe2b486
stages/02_spec_extraction/prompt_package/prompt_metadata.json,02_spec_extraction,prompt_package,996,c01d70323eebc653fa6f4a05f6fc4470fb16d9bd6436ceddc1f8be066c540e67
stages/02_spec_extraction/prompt_package/trusted_deterministic_facts_manifest.json,02_spec_extraction,prompt_package,321,a094a88e9c3739760d91737451d44e2d290be15a78c609e0ad2c4149bcdae7ba
stages/02_spec_extraction/stage_manifest.json,02_spec_extraction,stage_manifest.json,2639,bf1737d4891a9af7bd26552d3b20635d9d72488a9ad4077db8e00850d83f65e3
stages/02_spec_extraction/validation/llm_call_validation.json,02_spec_extraction,validation,2141,ff81d752764543c3908d9a2b3ff068dc57b88f731c90b03f9588d31422298e3c
stages/03_code_understanding/deterministic_reference/02_agent2_spec_summary_input_status.json,03_code_understanding,deterministic_reference,37312,bb92ec8b573e343580c72fae586278a74799e8c56843753c4e01ffe12dda6e2c
stages/03_code_understanding/deterministic_reference/02_source_material_read_report.deterministic.json,03_code_understanding,deterministic_reference,1355,d9c41203d11ca1e5e18bea55ec098247d8bd83dde28a88aa14a97b1dd605e6ab
