macro_name,macro_value,macro_kind,macro_source_file,matched_spec_symbol,matched_spec_value,match_score,match_status,human_review_required,macro_evidence,spec_evidence
mlk_poly_add,MLK_NAMESPACE(poly_add),object_like_macro,/home/girish/thesis-agent-workflow/inputs/code/poly.h,,,0.0,no_match,True,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/poly.h"", ""start_line"": 181, ""end_line"": 181, ""text"": ""#define mlk_poly_add MLK_NAMESPACE(poly_add)""}",
MLKEM_N,256,object_like_macro,/home/girish/thesis-agent-workflow/inputs/code/params.h,th,256,0.35,weak_candidate,True,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/params.h"", ""start_line"": 22, ""end_line"": 22, ""text"": ""#define MLKEM_N 256""}","{""source_file"": ""01_spec_summary.json""}"
MLKEM_Q,3329,object_like_macro,/home/girish/thesis-agent-workflow/inputs/code/params.h,,,0.0,no_match,True,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/params.h"", ""start_line"": 23, ""end_line"": 23, ""text"": ""#define MLKEM_Q 3329""}",
MLKEM_POLYCOMPRESSEDBYTES_D4,128,object_like_macro,/home/girish/thesis-agent-workflow/inputs/code/params.h,,,0.0,no_match,True,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/params.h"", ""start_line"": 33, ""end_line"": 33, ""text"": ""#define MLKEM_POLYCOMPRESSEDBYTES_D4 128""}",
__loop__,"/* NOLINT(bugprone-reserved-identifier,cert-dcl37-c,cert-dcl51-cpp) */",function_like_macro,/home/girish/thesis-agent-workflow/inputs/code/cbmc.h,,,0.0,no_match,True,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/cbmc.h"", ""start_line"": 22, ""end_line"": 22, ""text"": ""#define __loop__(x) /* NOLINT(bugprone-reserved-identifier,cert-dcl37-c,cert-dcl51-cpp) */""}",
__loop__,"x /* NOLINT(bugprone-reserved-identifier,cert-dcl37-c,cert-dcl51-cpp) */",function_like_macro,/home/girish/thesis-agent-workflow/inputs/code/cbmc.h,,,0.0,no_match,True,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/cbmc.h"", ""start_line"": 30, ""end_line"": 30, ""text"": ""#define __loop__(x) x /* NOLINT(bugprone-reserved-identifier,cert-dcl37-c,cert-dcl51-cpp) */""}",
invariant,__CPROVER_loop_invariant(__VA_ARGS__),function_like_macro,/home/girish/thesis-agent-workflow/inputs/code/cbmc.h,,,0.0,no_match,True,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/cbmc.h"", ""start_line"": 40, ""end_line"": 40, ""text"": ""#define invariant(...) __CPROVER_loop_invariant(__VA_ARGS__)""}",
decreases,__CPROVER_decreases(__VA_ARGS__),function_like_macro,/home/girish/thesis-agent-workflow/inputs/code/cbmc.h,,,0.0,no_match,True,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/cbmc.h"", ""start_line"": 41, ""end_line"": 41, ""text"": ""#define decreases(...) __CPROVER_decreases(__VA_ARGS__)""}",
loop_entry,__CPROVER_loop_entry(__VA_ARGS__),function_like_macro,/home/girish/thesis-agent-workflow/inputs/code/cbmc.h,,,0.0,no_match,True,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/cbmc.h"", ""start_line"": 88, ""end_line"": 88, ""text"": ""#define loop_entry(...) __CPROVER_loop_entry(__VA_ARGS__)""}",
forall,__CPROVER_forall                                                                {                                                                                 uint32_t qvar;                                                                  ((uint32_t) (qvar_lb) <= (qvar) && (qvar) < (uint32_t) (qvar_ub)) ==> (predicate)    },function_like_macro,/home/girish/thesis-agent-workflow/inputs/code/cbmc.h,,,0.0,no_match,True,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/cbmc.h"", ""start_line"": 112, ""end_line"": 117, ""text"": ""#define forall(qvar, qvar_lb, qvar_ub, predicate)                              \\\n  __CPROVER_forall                                                             \\\n  {                                                                            \\\n    uint32_t qvar;                                                             \\\n    ((uint32_t) (qvar_lb) <= (qvar) && (qvar) < (uint32_t) (qvar_ub)) ==> (predicate) \\\n  }""}",
MLK_INTERNAL_API,,object_like_macro,/home/girish/thesis-agent-workflow/inputs/code/common.h,,,0.0,no_match,True,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/common.h"", ""start_line"": 26, ""end_line"": 26, ""text"": ""#define MLK_INTERNAL_API""}",
MLK_INTERNAL_API,MLK_CONFIG_INTERNAL_API_QUALIFIER,object_like_macro,/home/girish/thesis-agent-workflow/inputs/code/common.h,,,0.0,no_match,True,"{""source_file"": ""/home/girish/thesis-agent-workflow/inputs/code/common.h"", ""start_line"": 30, ""end_line"": 30, ""text"": ""#define MLK_INTERNAL_API MLK_CONFIG_INTERNAL_API_QUALIFIER""}",
