original_path	status	classification	retained_path	canonical_source_path	size	sha256	reason
.ZERO_FINAL_RUN2_AUDIT_TMP_17878/ZERO-T1_FREEZE_v1_af4c5abd_CONTENTS.txt	OMITTED_EXACT_MIRROR	OMITTED_FINAL_AUDIT_DUPLICATE	experiments/zeroize/campaign-closure/package-integrity-audit/ZERO-T1_FREEZE_v1_af4c5abd_CONTENTS.txt	ZERO-FINAL_CAMPAIGN_v1_af4c5abd/audit/ZERO-T1_FREEZE_v1_af4c5abd_CONTENTS.txt	721	8b8d3f7a39bd798458f6ae08bc23317c249affccf2676d4ffcac1f479174cae9	Final-audit working copy duplicates the retained campaign-integrity record.
.ZERO_FINAL_RUN2_AUDIT_TMP_17878/ZERO-T1_FREEZE_v1_af4c5abd_INTERNAL_MANIFEST_CHECK.txt	OMITTED_EXACT_MIRROR	OMITTED_FINAL_AUDIT_DUPLICATE	experiments/zeroize/campaign-closure/package-integrity-audit/ZERO-T1_FREEZE_v1_af4c5abd_INTERNAL_MANIFEST_CHECK.txt	ZERO-FINAL_CAMPAIGN_v1_af4c5abd/audit/ZERO-T1_FREEZE_v1_af4c5abd_INTERNAL_MANIFEST_CHECK.txt	398	fef18125943e12b8e1b9fe559410a7da9538287b461ee0e5a669cfae4bd89cb2	Final-audit working copy duplicates the retained campaign-integrity record.
.ZERO_FINAL_RUN2_AUDIT_TMP_17878/ZERO-T1_FREEZE_v1_af4c5abd_PACKAGE_SHA256_CHECK.txt	OMITTED_EXACT_MIRROR	OMITTED_FINAL_AUDIT_DUPLICATE	experiments/zeroize/campaign-closure/package-integrity-audit/ZERO-T1_FREEZE_v1_af4c5abd_PACKAGE_SHA256_CHECK.txt	ZERO-FINAL_CAMPAIGN_v1_af4c5abd/audit/ZERO-T1_FREEZE_v1_af4c5abd_PACKAGE_SHA256_CHECK.txt	85	5c46516d3a4d21e58bfbbd0af40c2c744f6d0da97fc5253376db1d889eab3bc0	Final-audit working copy duplicates the retained campaign-integrity record.
.ZERO_FINAL_RUN2_AUDIT_TMP_17878/ZERO-T2_FREEZE_v1_af4c5abd_CONTENTS.txt	OMITTED_EXACT_MIRROR	OMITTED_FINAL_AUDIT_DUPLICATE	experiments/zeroize/campaign-closure/package-integrity-audit/ZERO-T2_FREEZE_v1_af4c5abd_CONTENTS.txt	ZERO-FINAL_CAMPAIGN_v1_af4c5abd/audit/ZERO-T2_FREEZE_v1_af4c5abd_CONTENTS.txt	687	6f112e9b821e24e345ac75115386f94a273f2c6c876daa2f5c753cede2865e82	Final-audit working copy duplicates the retained campaign-integrity record.
.ZERO_FINAL_RUN2_AUDIT_TMP_17878/ZERO-T2_FREEZE_v1_af4c5abd_INTERNAL_MANIFEST_CHECK.txt	OMITTED_EXACT_MIRROR	OMITTED_FINAL_AUDIT_DUPLICATE	experiments/zeroize/campaign-closure/package-integrity-audit/ZERO-T2_FREEZE_v1_af4c5abd_INTERNAL_MANIFEST_CHECK.txt	ZERO-FINAL_CAMPAIGN_v1_af4c5abd/audit/ZERO-T2_FREEZE_v1_af4c5abd_INTERNAL_MANIFEST_CHECK.txt	364	34693d7f1a6e963130f47038c2d8c3b084329310194b6bdae2201067bad97d30	Final-audit working copy duplicates the retained campaign-integrity record.
.ZERO_FINAL_RUN2_AUDIT_TMP_17878/ZERO-T2_FREEZE_v1_af4c5abd_PACKAGE_SHA256_CHECK.txt	OMITTED_EXACT_MIRROR	OMITTED_FINAL_AUDIT_DUPLICATE	experiments/zeroize/campaign-closure/package-integrity-audit/ZERO-T2_FREEZE_v1_af4c5abd_PACKAGE_SHA256_CHECK.txt	ZERO-FINAL_CAMPAIGN_v1_af4c5abd/audit/ZERO-T2_FREEZE_v1_af4c5abd_PACKAGE_SHA256_CHECK.txt	85	5332aea98358c1350453077b22990106a110e65cc323fafd09a22f4fe604c4dc	Final-audit working copy duplicates the retained campaign-integrity record.
.ZERO_FINAL_RUN2_AUDIT_TMP_17878/ZERO-T3_FREEZE_v1_af4c5abd_CONTENTS.txt	OMITTED_EXACT_MIRROR	OMITTED_FINAL_AUDIT_DUPLICATE	experiments/zeroize/campaign-closure/package-integrity-audit/ZERO-T3_FREEZE_v1_af4c5abd_CONTENTS.txt	ZERO-FINAL_CAMPAIGN_v1_af4c5abd/audit/ZERO-T3_FREEZE_v1_af4c5abd_CONTENTS.txt	695	b86bcc69365c436a2221fae3ad2df7beacab7ae963469fc1348ddfae5b55625b	Final-audit working copy duplicates the retained campaign-integrity record.
.ZERO_FINAL_RUN2_AUDIT_TMP_17878/ZERO-T3_FREEZE_v1_af4c5abd_INTERNAL_MANIFEST_CHECK.txt	OMITTED_EXACT_MIRROR	OMITTED_FINAL_AUDIT_DUPLICATE	experiments/zeroize/campaign-closure/package-integrity-audit/ZERO-T3_FREEZE_v1_af4c5abd_INTERNAL_MANIFEST_CHECK.txt	ZERO-FINAL_CAMPAIGN_v1_af4c5abd/audit/ZERO-T3_FREEZE_v1_af4c5abd_INTERNAL_MANIFEST_CHECK.txt	372	99b549adb1bcd4400cd7f224e1f4c303dd2af47cd3b12cfe3dc7ab84cd430668	Final-audit working copy duplicates the retained campaign-integrity record.
.ZERO_FINAL_RUN2_AUDIT_TMP_17878/ZERO-T3_FREEZE_v1_af4c5abd_PACKAGE_SHA256_CHECK.txt	OMITTED_EXACT_MIRROR	OMITTED_FINAL_AUDIT_DUPLICATE	experiments/zeroize/campaign-closure/package-integrity-audit/ZERO-T3_FREEZE_v1_af4c5abd_PACKAGE_SHA256_CHECK.txt	ZERO-FINAL_CAMPAIGN_v1_af4c5abd/audit/ZERO-T3_FREEZE_v1_af4c5abd_PACKAGE_SHA256_CHECK.txt	85	ee232de3b4788ab293c83ef200b607145adef3c1fc4671e1cbf04a9b7847f2c5	Final-audit working copy duplicates the retained campaign-integrity record.
.ZERO_FINAL_RUN2_AUDIT_TMP_17878/ZERO-T4_FREEZE_v1_af4c5abd_CONTENTS.txt	OMITTED_EXACT_MIRROR	OMITTED_FINAL_AUDIT_DUPLICATE	experiments/zeroize/campaign-closure/package-integrity-audit/ZERO-T4_FREEZE_v1_af4c5abd_CONTENTS.txt	ZERO-FINAL_CAMPAIGN_v1_af4c5abd/audit/ZERO-T4_FREEZE_v1_af4c5abd_CONTENTS.txt	2337	e481d2a0b9022fea98977de9ac2727e24227e370e3b92e7927f64f76af9c0014	Final-audit working copy duplicates the retained campaign-integrity record.
