TYPE	GIT_MODE	SHA256	GIT_OBJECT	PATH
REGULAR	100644	19533c4050269a0f9385874bcd757e7af3c92fd1b8be4de3ab2bdbc59fd7db32	0f3db5b7d5d73d01fde6a899d34834775515ef8c	".clang-format"
REGULAR	100644	c48cb41cbb58d49aef228ee3dae3247c501400496a9831258ed0a13a18388c8d	b1bdca99f31922db71652e95b3572400b58eb868	".clang-tidy"
REGULAR	100644	8e74b508436ee5f644013bdc3e8e708c529d8fa6f1858041c6fd4d9b30327d61	aad142d18147e1e987c714b68a1b605b74f8730e	".envrc"
REGULAR	100644	2227bbbfd0215fedb9929fba4e7a81f96a52edd505ab8b9f2530b19cddf794e8	6404f1f51f590cf6fd0461499dd7d397ac61bb61	".github/ISSUE_TEMPLATE/bug_report.md"
REGULAR	100644	b55ffd57a6683f7c186538a098a4cf4487c6e7894f586a79a92acecd043ccef8	e0d799c23854d42149e5ffd7cd59f4fdec6a47c9	".github/ISSUE_TEMPLATE/feature_request.md"
REGULAR	100644	1568ab677d1ba819761ec4741f8976338ea719a67afabfed10255cb99578a795	2e78d911bac96c8d617c3ae6b638c9cbfec0693c	".github/actionlint.yaml"
REGULAR	100644	0c2532d83d9fa466c5919b7091beccacb17d442008e56d692d8b3660199fb2c2	2fae14d0dd9aa72babfd8a19736f3ddfced48f41	".github/actions/bench/action.yml"
REGULAR	100644	8c2042754ee77e8d32ff2a324bec74a6044f3cf2e3ccc73713c7e14e0f24d483	f5915dc68303bbbc6b799a23a8b139ea654524d2	".github/actions/cbmc/action.yml"
REGULAR	100644	9b1c3a7d2725814b55ac9ca932c2de8f07e083c9223f116829ae8da0cd6797cd	8c62114987e2936600f35d52836c896a0630914d	".github/actions/cbmc/report.py"
REGULAR	100644	dfc92ba0a3c1d0c5e1de829302194ba8010f5b78473288ce309eb18b4f1f642d	b776d605f90b520c37336e129b1877d9edd22d31	".github/actions/config-variations/action.yml"
REGULAR	100644	abb9831b710d5ed850984240af5f5cff7596caee01fa93ed622cbe6a880c8408	9c4eb16e691780ccb0d753c6847754feea752ef4	".github/actions/ct-test/action.yml"
REGULAR	100644	44bd8f88267453122d59fbdb65195b953ffa258879bd54ec4154fd195a366070	498a9964560df7f000f9af0e768010c253fec675	".github/actions/functest/action.yml"
REGULAR	100644	6da6e56d8fee54fa7c9185817371d08c65e47a1944ee8becd1cadd77fcce9fbe	34563861613abc6ae4fb7af96dfd1d7c1e11e190	".github/actions/lint/action.yml"
REGULAR	100644	24f996e395f71133bdf2b04cdbf00bfe5235b13b83d5b8e761e8ce0ada067dfd	b6a5cedd113494b26699686a50889632efece9ba	".github/actions/multi-functest/action.yml"
REGULAR	100644	e47939c03998bb2a6e01e8c7cef7c34ecbdaeca437192c78683abe1364c68d20	56078aa2fc1f59697b53eb0fe5e3f6037a051033	".github/actions/setup-apt/action.yml"
REGULAR	100644	03646db52a79cffaf889e6deaac3b640af42fa491678d7f71d663c79e826fb0b	e58344a6a0bf029544066cfea76379fa7521898e	".github/actions/setup-aws-lc/action.yml"
REGULAR	100644	b1cdb183bbe2f51605fe1a9aebea5e78f8171c4e4cb7c3f11ca7bc6a93330e4b	6f000ce5866f0436736dd433986991e1580b14e0	".github/actions/setup-brew/action.yml"
REGULAR	100644	081f42669c7664b96d9a3d289ac5ebfe807a90143e0f15df45e379c9beb16571	4d8cf8a021707a4381cde92c1670194099a5e4c0	".github/actions/setup-nix/action.yml"
REGULAR	100644	71a514bf36b7893d0190b0b2f476b11083978630b5d27e01dc5015f07fdb5efe	58ce4b5c95765bacaed5934084de6e3b4a8ecbff	".github/actions/setup-oqs/action.yml"
REGULAR	100644	9581f5220f5e8a14a6379280b1156dc036fa2d1e06703f8672b99c70d7adb2d5	ab3cfac86e92d6049165aa31a858ab77e88a555c	".github/actions/setup-os/action.yml"
REGULAR	100644	bbb6d90ff6f46fc0f77c2b9ecfd62ae357c4d1338e0225cc5862f306ddc85ccb	0d778ff1d76f07c8368a05c03aaa5c9603f644c7	".github/actions/setup-pavona/action.yml"
REGULAR	100644	929c26c5f040334cbe0d375a780acc378d0bfad75915c1109d210f9a266fdac3	7b02d924c1cf6ce9ccfb8f1895048893b0e2996b	".github/actions/setup-shell/action.yml"
REGULAR	100644	a5a540bd2cd7e35952f5bbceb0559f3b34c3966d3f5a88207a19d2cf9000289c	a27c2b327ca0f912592385b225e3d1ec6a929fbb	".github/actions/setup-yum/action.yml"
REGULAR	100644	7d125e8f29830d045136e317ee444ba08f43a9598e291c82310dec105f478b75	0d26236a7bf5e644853c5e71e941b642d8a06293	".github/dependabot.yml"
REGULAR	100644	c7123f1c23d49dd6cdeeaf141f3e3b1e7446b9dcdd529c9e7d89000680214197	f84fcfb9b8d72dc7756ad50d9a5cb65ab9847b27	".github/mlc_config.json"
REGULAR	100644	9c3d282ca6d0dceb898c1b7fe1d4c49a4bea4fe34084fac142413d90f6165147	f28879790d3b57e0338002caa4f402ef8fa9ad2b	".github/workflows/all.yml"
REGULAR	100644	87bf5651f26c7b988ebcf678655796582798a07bad48f78c1e7024c5e565b2d3	5be619b388fb105906a50dcfce4fe64a5a5d5376	".github/workflows/baremetal.yml"
REGULAR	100644	2f5007fa05f01975ba6c28c5ec08ffb9595204b8c535fc500bf801add05555d9	75ca6df91a4fc115c56b1152d940c3dae8945007	".github/workflows/base.yml"
REGULAR	100644	f2c18fd5458da0d1da668cb0f275b16d796ea436992acf486935164c5204a79d	aee2718cb212d184f3cb42a27d791a64c005e4fa	".github/workflows/bench.yml"
REGULAR	100644	b3b17dcdc5f003a1597490b5d29c17fe777a2e7e456e3a06f8bc7bf53a99f075	232e877917f4d34e8477b3ef13c986d36af01766	".github/workflows/bench_ec2_any.yml"
REGULAR	100644	830d9f8a4c9bbf57fe8f714f23a2852febcc659a254e2d40c73bfda799621e5f	21e760e8ce1e13da2fc436d65d69d5f660f6caca	".github/workflows/bench_ec2_reusable.yml"
REGULAR	100644	94d30cd6b369e31b25e4bab6b268a9b0497c0c72db774c5953cb4242b2d918dc	749f265ba41ff3ac9a7c06357a676aaa3c65bfaa	".github/workflows/cbmc.yml"
REGULAR	100644	286e1bcce77e28b0487debbe1c3895c7c31deb66ed233f1f2a0e845ceb9657be	4c2f4bd4c189a2757374ae7c0e28f0488d88c21c	".github/workflows/ci.yml"
REGULAR	100644	e152624ca07bfbe9e3f048dc867fddd5a0e7d45535dc83f634113ec51e5f8ab3	2662954b3ec403e64e3990aa4fa1b1d3d9532e10	".github/workflows/ci_ec2_any.yml"
REGULAR	100644	410b698369a78638f10a91e85ae9a190742aa28c50e29f232168a50dfac3f671	3142e3bb4a871d430637a61721dc6b9de589f656	".github/workflows/ci_ec2_container.yml"
REGULAR	100644	9bcc8edc7d61c1dc38793960168a92d8ce9ff49d12cb0f4318f299cb666fc975	fbaceb9cecf3218f9c6d6b5ed16a4fad26666e3a	".github/workflows/ci_ec2_reusable.yml"
REGULAR	100644	f23180c84ba2995e3d18dbc0962dce1ac3f29f7ff02d0ea11f32234ee809be96	36ac58c1ba5b41267aeafdeadb5925dd92e05a51	".github/workflows/ct-tests.yml"
REGULAR	100644	71bbd14a6c9efafce61dd789e4febc61cd9a89d6df159e17debef8c7fecb1d62	c381c287d0656c520b2801da7599689d0b5164ba	".github/workflows/hol_light.yml"
REGULAR	100644	b15b33db4bc3f81da791fc11928780a0491b8939ea807d7636ad08f7cc656bf8	8193451aed59d3633a49257d2d45db06ad0dbacf	".github/workflows/integration-awslc-main.yml"
REGULAR	100644	00e0b98def3960ab1c69be48d7ce39a1699094b0563de190c0c0db45bd64c00c	ca82a63036c42170a4afb42f57db4e5fbe6143ef	".github/workflows/integration-awslc.yml"
REGULAR	100644	cd8ec6a5036d7f5de9a2cf34ddcbd486ac4a5b55917f6216aa6a1e69f7a90c48	e4fbcdcce9914d8be72f3ff6148a682cfea2aa63	".github/workflows/integration-liboqs.yml"
REGULAR	100644	9d927e06d379c6703489f3f9c82481147e898da070b40d1c71fdd5f51462dd21	f6e06f57140415a7b05cb510afc73311fa13c114	".github/workflows/integration-pavona.yml"
REGULAR	100644	48228028edf88b1c577df0a8053cf21017dbc0af143ebe2f9b1db6d5cf868a5a	b8b8e786f1b745b493885d9e376d9296bc3a6661	".github/workflows/legacy-compilers.yml"
REGULAR	100644	e179b4006bbc8de1b8b6234ee4d3a5229e8fede21a53c4307d743478180e6457	cd3858cafeafad4adc8a54f0d6cf03bcddf33c5d	".github/workflows/lint_markdown.yml"
REGULAR	100644	7e4fa99868b60c67ff125343f80aa04a0b399fe2388614ba99681a4117452fcd	ebc105e075667432c42769d667e06dcae0624792	".github/workflows/nix.yml"
REGULAR	100644	3ed036de8b247caeeabd46f796570b6cbcda41abdae8a2ac5c27e03f91693dad	c0d519753057b1e8889169ff0547e85336bd2f6f	".github/workflows/riscv.yml"
