relative_path,stage_key,role,size_bytes,sha256
stages/01_master_orchestrator/control/input_snapshot/code_01_target.c,01_master_orchestrator,control,74,e2fadaf179d6ad0cd9a57a7c49c431619ebd7603008f6127e3387b95f071c88c
stages/01_master_orchestrator/control/input_snapshot/p19.json,01_master_orchestrator,control,2122,0472732406ad7b30fb78555f734937b57578e631d736d45a45658895312f8b98
stages/01_master_orchestrator/control/input_snapshot/spec_01_fips.txt,01_master_orchestrator,control,52,2d155e2bd10f2808e1dc2b85dd96577893af0893f0b090c743f4625222edbdb1
stages/01_master_orchestrator/control/repository_provenance.json,01_master_orchestrator,control,928,4c0176f623ee52ab9dfb49ccce7ee56af46e9d46e0d753bff17dbeda02fe0974
stages/01_master_orchestrator/diagnostics/iterations/iteration_00.json,01_master_orchestrator,diagnostics,10325,79a80511f5f7a52945d7e767b56c1c76aac707e04055695a26ddea84ea0a1547
stages/01_master_orchestrator/handoff/handoff_manifest.json,01_master_orchestrator,handoff,1644,79a6ba10f02645115763dca145060e7a61e51564a348dd0bbf5b16bee75b011a
stages/01_master_orchestrator/stage_manifest.json,01_master_orchestrator,stage_manifest.json,1288,dbd36056a2d2be051e4ca08c8cdc11426132d6dd81b140793d3e69007132cdc8
stages/02_spec_extraction/deterministic_reference/01_algorithm_blocks.deterministic.json,02_spec_extraction,deterministic_reference,271,5075a219d26fbaae1974da251951fbc801b58deb876ec1c6ba7ce46306a8210c
stages/02_spec_extraction/deterministic_reference/01_equations_constraints.deterministic.json,02_spec_extraction,deterministic_reference,1091,16959a4dd7daee2d50284791f926676d32f08453c8d98019dfbbe6ea9eafa4a6
stages/02_spec_extraction/deterministic_reference/01_parameter_table.deterministic.json,02_spec_extraction,deterministic_reference,275,56031857408a05174076b5f0031cad865baf3b87741066cda453f2d688ad3f2f
stages/02_spec_extraction/deterministic_reference/01_preconditions_postconditions.deterministic.json,02_spec_extraction,deterministic_reference,1084,0616fcccc388741eadb73e74e9b11505b6ab86cb9dd2238b94aa4189934aee2d
stages/02_spec_extraction/deterministic_reference/01_source_material_read_report.deterministic.json,02_spec_extraction,deterministic_reference,681,84f476857f57a55d63924e2de7df3bce8bcdb15dcc9c1416bc1cd8d7c648031f
stages/02_spec_extraction/deterministic_reference/01_spec_sections_index.deterministic.json,02_spec_extraction,deterministic_reference,263,3c9acf56763c016a711651849079a5d0065f51eb595ff2db496a12ae604cbe6e
stages/02_spec_extraction/deterministic_reference/01_spec_summary.deterministic.json,02_spec_extraction,deterministic_reference,818,9b8c4ebc6bb4b14f0d566f1fa5146ebd1c19f7c08c479e9f06c092f162758c8b
