staged_path,sha256,size_bytes,action,final_repository_path,note
experiments/poly-frombytes/00-campaign-context/00-broken-theorem-freeze-attempt/PFB_00C_THEOREM_FREEZE_af4c5abd.BROKEN_20260729T030534Z/input_evidence/PFB_00B1_DEPENDENCY_OVERLAP_COMPLETION.txt,8d0899de264ac716e861a32a9bab87041bf0c9a375c32e6c23fa934b359d8c05,6700686,copy-new-file,experiments/poly-frombytes/00-campaign-context/00-broken-theorem-freeze-attempt/PFB_00C_THEOREM_FREEZE_af4c5abd.BROKEN_20260729T030534Z/input_evidence/PFB_00B1_DEPENDENCY_OVERLAP_COMPLETION.txt,
experiments/poly-frombytes/00-campaign-context/00-broken-theorem-freeze-attempt/PFB_00C_THEOREM_FREEZE_af4c5abd.BROKEN_20260729T030534Z/input_evidence/PFB_00B2_PRECISION_PRIOR_OVERLAP_AUDIT.txt,442ecc6a060c69750ee60cb327f3c4736348bd89838fa5c498304bf9fff76c34,288621,copy-new-file,experiments/poly-frombytes/00-campaign-context/00-broken-theorem-freeze-attempt/PFB_00C_THEOREM_FREEZE_af4c5abd.BROKEN_20260729T030534Z/input_evidence/PFB_00B2_PRECISION_PRIOR_OVERLAP_AUDIT.txt,
experiments/poly-frombytes/00-campaign-context/01-theorem-registry-scope-and-source-binding/PFB_00C_THEOREM_FREEZE_af4c5abd/PFB_00C_FREEZE_REPORT.txt,bdc26fa83298268d15c583b551d1876f83e807c0c85920cdfc180903eed2e187,460,copy-new-file,experiments/poly-frombytes/00-campaign-context/01-theorem-registry-scope-and-source-binding/PFB_00C_THEOREM_FREEZE_af4c5abd/PFB_00C_FREEZE_REPORT.txt,
experiments/poly-frombytes/00-campaign-context/01-theorem-registry-scope-and-source-binding/PFB_00C_THEOREM_FREEZE_af4c5abd/SHA256SUMS.txt,0ad77b89aa6260e4021e897c7ace73e3588f2afd2c6d9cdc9a2f39a2debac8f4,866,copy-new-file,experiments/poly-frombytes/00-campaign-context/01-theorem-registry-scope-and-source-binding/PFB_00C_THEOREM_FREEZE_af4c5abd/SHA256SUMS.txt,
experiments/poly-frombytes/00-campaign-context/01-theorem-registry-scope-and-source-binding/PFB_00C_THEOREM_FREEZE_af4c5abd/registry/PFB_OVERLAP_DECISION_V1.md,f456c26c6cd001b1e12de4ef115fed94bfa1c9be49b84c53dd3f7981382d0556,1236,copy-new-file,experiments/poly-frombytes/00-campaign-context/01-theorem-registry-scope-and-source-binding/PFB_00C_THEOREM_FREEZE_af4c5abd/registry/PFB_OVERLAP_DECISION_V1.md,
experiments/poly-frombytes/00-campaign-context/01-theorem-registry-scope-and-source-binding/PFB_00C_THEOREM_FREEZE_af4c5abd/registry/PFB_SCOPE_AND_NONCLAIMS_V1.md,efb47fbea8677d450a4d41e68cb0cc1f8dadddcbd1724fc92ab0bbce71e7e4c3,2488,copy-new-file,experiments/poly-frombytes/00-campaign-context/01-theorem-registry-scope-and-source-binding/PFB_00C_THEOREM_FREEZE_af4c5abd/registry/PFB_SCOPE_AND_NONCLAIMS_V1.md,
experiments/poly-frombytes/00-campaign-context/01-theorem-registry-scope-and-source-binding/PFB_00C_THEOREM_FREEZE_af4c5abd/registry/PFB_THEOREM_REGISTRY_V1.md,f5abb690ae3059daf6c8eab7d6847b46d1166271f1b697c9715f586c477ab64f,2709,copy-new-file,experiments/poly-frombytes/00-campaign-context/01-theorem-registry-scope-and-source-binding/PFB_00C_THEOREM_FREEZE_af4c5abd/registry/PFB_THEOREM_REGISTRY_V1.md,
experiments/poly-frombytes/00-campaign-context/01-theorem-registry-scope-and-source-binding/PFB_00C_THEOREM_FREEZE_af4c5abd/registry/verification_intent.json,e73234119ff5ad49dc51f2d886ba8cbcbcbfdd886041c2571d4bdc90868c3493,1454,copy-new-file,experiments/poly-frombytes/00-campaign-context/01-theorem-registry-scope-and-source-binding/PFB_00C_THEOREM_FREEZE_af4c5abd/registry/verification_intent.json,
experiments/poly-frombytes/00-campaign-context/01-theorem-registry-scope-and-source-binding/PFB_00C_THEOREM_FREEZE_af4c5abd/source_binding/SOURCE_IDENTITY.txt,b4dd83697ff93c540ea0bf50b29ed1575bfc70c5623d9ccb47c58eb463b4fb43,1252,copy-new-file,experiments/poly-frombytes/00-campaign-context/01-theorem-registry-scope-and-source-binding/PFB_00C_THEOREM_FREEZE_af4c5abd/source_binding/SOURCE_IDENTITY.txt,
experiments/poly-frombytes/90-archive-companions/T1-final-freeze/PFB_T1_FINAL_FREEZE_af4c5abd_20260729T043912Z.tar.gz,5866529dfd01315886e0066646638efc70d9ede920ecd7df9c0a97c10e047114,1451009,copy-new-file,experiments/poly-frombytes/90-archive-companions/T1-final-freeze/PFB_T1_FINAL_FREEZE_af4c5abd_20260729T043912Z.tar.gz,
experiments/poly-frombytes/90-archive-companions/T2-final-freeze/PFB_T2_FINAL_FREEZE_af4c5abd_20260729T050106Z.tar.gz,9b282ca57ea6f43e0ffa88ad6a6cd6694d7a09d52a9d1373e6e4b9dfe68c1488,998850,copy-new-file,experiments/poly-frombytes/90-archive-companions/T2-final-freeze/PFB_T2_FINAL_FREEZE_af4c5abd_20260729T050106Z.tar.gz,
experiments/poly-frombytes/90-archive-companions/T3-final-freeze/PFB_T3_FINAL_FREEZE_af4c5abd_20260729T051133Z.tar.gz,f5d11b702eedfc2651cd860815b916c063f39efc764a98e7d06d1295df3772c4,351179,copy-new-file,experiments/poly-frombytes/90-archive-companions/T3-final-freeze/PFB_T3_FINAL_FREEZE_af4c5abd_20260729T051133Z.tar.gz,
experiments/poly-frombytes/90-archive-companions/T4-final-freeze/PFB_T4_FINAL_FREEZE_af4c5abd_20260729T053316Z.tar.gz,6f647a06f5e50206f5da21d14ba27f16f8d55d806d92bc1922e394d83a78d3c8,281452,copy-new-file,experiments/poly-frombytes/90-archive-companions/T4-final-freeze/PFB_T4_FINAL_FREEZE_af4c5abd_20260729T053316Z.tar.gz,
experiments/poly-frombytes/90-archive-companions/campaign-final-seal/PFB_CAMPAIGN_FINAL_SEAL_af4c5abd_20260729T054222Z.tar.gz,6d013b5e2e878a1eaf7aad166a6fff146c6e64d1eb73cd97894926488e858b72,15130,copy-new-file,experiments/poly-frombytes/90-archive-companions/campaign-final-seal/PFB_CAMPAIGN_FINAL_SEAL_af4c5abd_20260729T054222Z.tar.gz,
experiments/poly-frombytes/98-campaign-closure-and-seal/PFB_CAMPAIGN_FINAL_SEAL_af4c5abd_20260729T054222Z/PFB_CAMPAIGN_ARCHIVE_INDEX.txt,f551c476109cbf4c06f161780f68a4b8c4e248c15a53b6300300d6e38759f560,984,copy-new-file,experiments/poly-frombytes/98-campaign-closure-and-seal/PFB_CAMPAIGN_FINAL_SEAL_af4c5abd_20260729T054222Z/PFB_CAMPAIGN_ARCHIVE_INDEX.txt,
experiments/poly-frombytes/98-campaign-closure-and-seal/PFB_CAMPAIGN_FINAL_SEAL_af4c5abd_20260729T054222Z/PFB_CAMPAIGN_FINAL_REPORT.md,300754e136ef3c791728a46c8b58b2b049dc2c0400c195b6012a98007a0a6191,1435,copy-new-file,experiments/poly-frombytes/98-campaign-closure-and-seal/PFB_CAMPAIGN_FINAL_SEAL_af4c5abd_20260729T054222Z/PFB_CAMPAIGN_FINAL_REPORT.md,
experiments/poly-frombytes/98-campaign-closure-and-seal/PFB_CAMPAIGN_FINAL_SEAL_af4c5abd_20260729T054222Z/PFB_CAMPAIGN_FINAL_STATUS.txt,38267d1342fb4eee9d4611227089f316f617e9382850ca14e8be29713f143429,737,copy-new-file,experiments/poly-frombytes/98-campaign-closure-and-seal/PFB_CAMPAIGN_FINAL_SEAL_af4c5abd_20260729T054222Z/PFB_CAMPAIGN_FINAL_STATUS.txt,
experiments/poly-frombytes/98-campaign-closure-and-seal/PFB_CAMPAIGN_FINAL_SEAL_af4c5abd_20260729T054222Z/SHA256SUMS.txt,7a379152d41c459282da946855615ad9e480afadb5a348a3f5fc794fe6d05913,1723,copy-new-file,experiments/poly-frombytes/98-campaign-closure-and-seal/PFB_CAMPAIGN_FINAL_SEAL_af4c5abd_20260729T054222Z/SHA256SUMS.txt,
