rel_path,category,suffix,size_bytes,sha256,modified_utc
01_algorithm_blocks.json,agent2_v2_spec_extraction_rich_output,.json,62,a58384c190cc3858dbafc9f96d9f34b47e8e2138264fe5164fd7946f856ff433,2026-07-09T02:34:37+00:00
01_equations_constraints.json,agent2_v2_spec_extraction_rich_output,.json,68993,839135743e1bbe503c2f1c5d73faae6284b5b2ca3e653919291f4ff765ead573,2026-07-09T02:34:37+00:00
01_parameter_table.json,agent2_v2_spec_extraction_rich_output,.json,6392,3c35e14283164c3757c94e744d7bbbe1b1ce51d458e4a106b97e7f69464bdf9f,2026-07-09T02:34:37+00:00
01_preconditions_postconditions.json,agent2_v2_spec_extraction_rich_output,.json,23023,87f583c7c18182b05766d6dbb6c6f7e25c21eca5dcd78f44b70aadbaf5ebd830,2026-07-09T02:34:37+00:00
01_spec_sections_index.json,agent2_v2_spec_extraction_rich_output,.json,139437,92ba38a88c4ecb3ad49bbb8b38985a06246a9e0009503cdde5150f5ac15e31a5,2026-07-09T02:34:37+00:00
01_spec_summary.json,structured_output,.json,24521,56980295f6639955b6466d7f2c86bc73b259bb827c0dad641829ef211a4848b5,2026-07-09T02:34:37+00:00
01_spec_summary.md,markdown_summary,.md,4979,22dbfe3e195870ff9d8feee55c31c240f1fbdc60727aacb77ae4a7076a0fd17a,2026-07-09T02:34:37+00:00
01_spec_to_code_hints.json,agent2_v2_spec_extraction_rich_output,.json,746,ea74cfdd283a9ce480de11789b3fb549aaf38e3cff4e7e0835d3b25533309a56,2026-07-09T02:34:37+00:00
01_symbol_table.json,agent2_v2_spec_extraction_rich_output,.json,5109,13716d86aef6fdffa660718c28adb26578bdc884fd0a3cf732e8f06b1254323c,2026-07-09T02:34:37+00:00
02_agent2v2_integration_report.json,structured_output,.json,962,fde73fcd58fa7055a40f7a43694d59b5d42e4e5fc15529bbb64389e35c24d331,2026-07-09T02:34:37+00:00
02_cbmc_harness_hints.json,structured_output,.json,1967,6a9046b8d883add445561a4b101056788841ab1068cd40220586f6bd7e0bf619,2026-07-09T02:34:37+00:00
02_code_structure_index.json,structured_output,.json,13025,fb4dd2338127e5d06c5546ad00567b723483f29456bbafaf18cbb7cab59321de,2026-07-09T02:34:37+00:00
02_code_summary.json,structured_output,.json,47483,d5a6445665c91c253a0d9e2f7da73562f98066d33b60363d309101557778e80f,2026-07-09T02:34:37+00:00
02_code_summary.md,markdown_summary,.md,6499,82ad3fe5ad4f6112d7b6bedb7cff257589278567bd55b760c1a1d9d7a77e6f5c,2026-07-09T02:34:37+00:00
02_code_symbol_table.json,structured_output,.json,7265,6bf16f8b8844bedbee07bfbdf5b0e73d9d298e1b97bb1858e28762e9a44a183d,2026-07-09T02:34:37+00:00
02_code_understanding_v2_report.json,structured_output,.json,2381,a2bc15b6c764eaffb3d21179e3c18aaf612b0ffc5b328d978f551815d12408b5,2026-07-09T02:34:37+00:00
02_function_signature_analysis.json,structured_output,.json,2831,b2deb66eb7a07d632ca4e3c3ac8274e163a248104bfe71dda9b69cf49d9b1746,2026-07-09T02:34:37+00:00
02_integer_range_obligations.csv,other,.csv,2212,e8539df423b80b4721233f8361f764bafcf243dbcf95808986d7ef31a924fabc,2026-07-09T02:34:37+00:00
02_integer_range_obligations.json,structured_output,.json,3878,391fbebd4154d130f637e9e525b2df2d9f97574f6c128763c3d7817353d8d5c4,2026-07-09T02:34:37+00:00
02_loop_bound_analysis.csv,other,.csv,362,e835832e887193fb4443ff8e90a2a55fc6b055137760e06b15f9d00929024c35,2026-07-09T02:34:37+00:00
02_loop_bounds_array_accesses.json,structured_output,.json,6562,705672e33ba01a4037ffb11a0b3122388dfd3d39c92d28e46542ddfae209c402,2026-07-09T02:34:37+00:00
02_macro_constant_map.csv,other,.csv,4771,e9df3dc71d50b3c4a05f9e4e48cb315b75311b9b4308b0e5a5cf40cfd0928bd8,2026-07-09T02:34:37+00:00
02_macro_constant_map.json,structured_output,.json,8809,d9249472dd16b3e7651aa72a99f9c92965b060948bdeccd1fdeb2bfd3027c04f,2026-07-09T02:34:37+00:00
02_memory_safety_obligations.csv,other,.csv,5728,259d7324fd975b69e1e0f9113d3390c1943c017e21d881841b04fba186478edb,2026-07-09T02:34:37+00:00
02_memory_safety_obligations.json,structured_output,.json,9487,ae8e9d541f3a43892415f0042430e796b275bb8c0f96beeb11f911c4a46bc8d9,2026-07-09T02:34:37+00:00
02_spec_code_mapping_candidates.csv,other,.csv,1175,f104e428f16698ab238bb665f7fce7ca412c2b28bd53ae5e9119734cea5a7550,2026-07-09T02:34:37+00:00
02_spec_code_mapping_candidates.json,structured_output,.json,2528,5f1310a6ca1f5926cea907eac6b12e4f448e53fac3f8dede89f5b87283c2d0a1,2026-07-09T02:34:37+00:00
03_agent2v2_integration_report.json,agent4_v2_property_traceability_output,.json,1391,5da6c0c2db141d009db9c967fd25b4e025a6767bbd997df09df516df2a65af86,2026-07-09T02:34:37+00:00
03_candidate_properties.json,structured_output,.json,289918,56229e2c13c00d9c8af636c90606a975d40af337b11f46ac1d3b214037026a71,2026-07-09T02:34:37+00:00
03_candidate_properties.md,markdown_summary,.md,59570,10e749bc48589c9ae1f1f000bb8c85cf9b38b2d4482591a6233a3f3c418a7d30,2026-07-09T02:34:37+00:00
03_property_evidence_matrix.csv,agent4_v2_property_traceability_output,.csv,24196,696646ed7b0f870adc6ca1535169b8c6182c26c1a49a3cd0a635879e1cf0b466,2026-07-09T02:34:37+00:00
03_spec_code_traceability.json,agent4_v2_property_traceability_output,.json,4008,406773b3c551d0940b7109bdc8e68b6039d1a83454a8fd9b2533b90caa891227,2026-07-09T02:34:37+00:00
04_artifact_manifest.json,structured_output,.json,37509,4018f16fa92421180d83b70f034c0f098c262e89e64afd8c8be507f5862c8186,2026-07-09T02:34:37+00:00
04_generated_harness.c,formal_artifact_or_code,.c,2965,c774dad4705d266129d98ca7b83352a680ab6db1dcdb47134ac0ec38469bae91,2026-07-09T02:34:37+00:00
04_generated_harness.md,formal_artifact_or_code,.md,5929,fc917036c1e0d06a1c3ebc61a81b2e8be246ecb40254ce092bad42008d94aa53,2026-07-09T02:34:37+00:00
04_harness_assumption_traceability.csv,agent5_v2_spec_grounded_artifact_output,.csv,770,b1bc9bf8c93ca153beabc956ca4f7ac158261e496e5281ff5d8fed1e5a3ea4a2,2026-07-09T02:34:37+00:00
